frame,x,y,score,body_part
112,427,160,0,sx_elbow
112,502,125,0,sx_hand
113,311,118,0,head
113,302,181,0,neck
113,260,179,0,dx_shoulder
113,190,139,0,dx_elbow
113,118,83,0,dx_hand
113,353,181,0,sx_shoulder
113,427,148,0,sx_elbow
113,502,113,0,sx_hand
114,311,118,0,head
114,304,179,0,neck
114,262,176,0,dx_shoulder
114,193,130,0,dx_elbow
114,125,74,0,dx_hand
114,355,179,0,sx_shoulder
114,427,146,0,sx_elbow
114,500,106,0,sx_hand
115,309,116,0,head
115,302,179,0,neck
115,262,174,0,dx_shoulder
115,193,127,0,dx_elbow
115,134,69,0,dx_hand
115,353,179,0,sx_shoulder
115,425,141,0,sx_elbow
115,495,93,0,sx_hand
116,309,116,0,head
116,302,179,0,neck
116,262,176,0,dx_shoulder
116,195,125,0,dx_elbow
116,137,55,0,dx_hand
116,353,179,0,sx_shoulder
116,425,132,0,sx_elbow
116,486,86,0,sx_hand
117,309,116,0,head
117,304,179,0,neck
117,262,176,0,dx_shoulder
117,200,123,0,dx_elbow
117,151,51,0,dx_hand
117,353,176,0,sx_shoulder
117,425,127,0,sx_elbow
117,481,74,0,sx_hand
118,309,116,0,head
118,304,176,0,neck
118,262,176,0,dx_shoulder
118,206,120,0,dx_elbow
118,155,41,0,dx_hand
118,353,169,0,sx_shoulder
118,418,125,0,sx_elbow
118,467,69,0,sx_hand
119,304,118,0,head
119,302,179,0,neck
119,262,176,0,dx_shoulder
119,206,116,0,dx_elbow
119,162,34,0,dx_hand
119,353,174,0,sx_shoulder
119,409,127,0,sx_elbow
119,462,55,0,sx_hand
120,304,120,0,head
120,302,179,0,neck
120,262,176,0,dx_shoulder
120,209,111,0,dx_elbow
120,172,34,0,dx_hand
120,351,174,0,sx_shoulder
120,409,123,0,sx_elbow
120,446,53,0,sx_hand
121,306,120,0,head
121,302,179,0,neck
121,265,176,0,dx_shoulder
121,211,109,0,dx_elbow
121,179,25,0,dx_hand
121,348,174,0,sx_shoulder
121,406,120,0,sx_elbow
121,444,51,0,sx_hand
122,311,120,0,head
122,302,176,0,neck
122,265,174,0,dx_shoulder
122,223,109,0,dx_elbow
122,193,20,0,dx_hand
122,351,172,0,sx_shoulder
122,406,118,0,sx_elbow
122,437,44,0,sx_hand
123,311,120,0,head
123,304,172,0,neck
123,265,174,0,dx_shoulder
123,225,106,0,dx_elbow
123,202,18,0,dx_hand
123,353,167,0,sx_shoulder
123,402,113,0,sx_elbow
