frame,x,y,body_part
109,485,246,sx_hand
110,298,198,neck
110,256,200,dx_shoulder
110,182,243,dx_elbow
110,121,283,dx_hand
110,346,196,sx_shoulder
110,409,230,sx_elbow
110,485,264,sx_hand
111,300,198,neck
111,256,200,dx_shoulder
111,192,252,dx_elbow
111,135,297,dx_hand
111,346,198,sx_shoulder
111,408,240,sx_elbow
111,470,279,sx_hand
112,298,200,neck
112,256,200,dx_shoulder
112,200,262,dx_elbow
112,146,316,dx_hand
112,346,198,sx_shoulder
112,405,250,sx_elbow
112,468,299,sx_hand
113,296,200,neck
113,256,202,dx_shoulder
113,203,271,dx_elbow
113,156,327,dx_hand
113,346,198,sx_shoulder
113,393,253,sx_elbow
113,453,309,sx_hand
114,298,200,neck
114,256,202,dx_shoulder
114,217,268,dx_elbow
114,171,333,dx_hand
114,346,198,sx_shoulder
114,391,266,sx_elbow
114,446,322,sx_hand
115,298,200,neck
115,256,202,dx_shoulder
115,220,276,dx_elbow
115,184,339,dx_hand
115,346,198,sx_shoulder
115,389,271,sx_elbow
115,429,330,sx_hand
116,298,203,neck
116,254,205,dx_shoulder
116,222,279,dx_elbow
116,194,346,dx_hand
116,346,201,sx_shoulder
116,385,276,sx_elbow
116,414,341,sx_hand
117,298,200,neck
117,254,202,dx_shoulder
117,227,278,dx_elbow
117,204,348,dx_hand
117,347,200,sx_shoulder
117,373,274,sx_elbow
117,410,343,sx_hand
118,298,203,neck
118,256,202,dx_shoulder
118,237,278,dx_elbow
118,209,353,dx_hand
118,347,200,sx_shoulder
118,373,276,sx_elbow
118,398,344,sx_hand
119,298,203,neck
119,254,205,dx_shoulder
119,238,283,dx_elbow
119,221,355,dx_hand
119,348,203,sx_shoulder
119,370,279,sx_elbow
119,393,347,sx_hand
120,298,203,neck
120,254,205,dx_shoulder
120,239,285,dx_elbow
120,223,354,dx_hand
120,349,200,sx_shoulder
120,365,274,sx_elbow
120,383,347,sx_hand
121,296,205,neck
121,254,205,dx_shoulder
121,241,285,dx_elbow
121,226,354,dx_hand
121,349,203,sx_shoulder
121,356,275,sx_elbow
121,376,347,sx_hand
122,298,203,neck
122,254,202,dx_shoulder
122,242,287,dx_elbow
122,238,354,dx_hand
122,349,200,sx_shoulder
122,358,277,sx_elbow
122,374,347,sx_hand
123,301,203,neck
123,254,205,dx_shoulder
123,243,285,dx_elbow
123,241,354,dx_hand
123,349,200,sx_shoulder
123,360,272,sx_elbow
123,371,348,sx_hand
124,298,200,neck
124,254,202,dx_shoulder
124,243,285,dx_elbow
124,241,354,dx_hand
124,349,200,sx_shoulder
124,356,272,sx_elbow
124,369,345,sx_hand
